round,model,est_rank,percentile
2,integrated_v2,3088452,37.9
2,np_no_num,1441196,17.7
3,integrated_v2,7972801,97.9
3,np_no_num,2703617,33.2
4,integrated_v2,2228377,27.4
4,np_no_num,776185,9.5
5,integrated_v2,1795896,22.0
5,np_no_num,1695309,20.8
6,integrated_v2,89184,1.1
6,np_no_num,84704,1.0
7,integrated_v2,2040236,25.0
7,np_no_num,2469459,30.3
8,integrated_v2,6503098,79.8
8,np_no_num,6449343,79.2
9,integrated_v2,6156950,75.6
9,np_no_num,6067766,74.5
10,integrated_v2,6007903,73.8
10,np_no_num,5748496,70.6
11,integrated_v2,4633086,56.9
11,np_no_num,4566707,56.1
12,integrated_v2,441033,5.4
12,np_no_num,456915,5.6
13,integrated_v2,4140741,50.8
13,np_no_num,4073141,50.0
14,integrated_v2,1535674,18.9
14,np_no_num,1374003,16.9
15,integrated_v2,3159718,38.8
15,np_no_num,3274965,40.2
16,integrated_v2,5428004,66.6
16,np_no_num,5823019,71.5
17,integrated_v2,4635936,56.9
17,np_no_num,4860729,59.7
18,integrated_v2,6872865,84.4
18,np_no_num,6877752,84.4
19,integrated_v2,2291498,28.1
19,np_no_num,2090732,25.7
20,integrated_v2,6716488,82.5
20,np_no_num,6532826,80.2
21,integrated_v2,4094317,50.3
21,np_no_num,4232776,52.0
22,integrated_v2,6016862,73.9
22,np_no_num,5820576,71.5
23,integrated_v2,4983555,61.2
23,np_no_num,5109396,62.7
24,integrated_v2,2889316,35.5
24,np_no_num,2771625,34.0
25,integrated_v2,2759001,33.9
25,np_no_num,2754114,33.8
26,integrated_v2,4314630,53.0
26,np_no_num,3924094,48.2
27,integrated_v2,7346070,90.2
27,np_no_num,7601404,93.3
28,integrated_v2,1951052,24.0
28,np_no_num,2431993,29.9
29,integrated_v2,3501793,43.0
29,np_no_num,3626407,44.5
30,integrated_v2,6545857,80.4
30,np_no_num,6868793,84.3
31,integrated_v2,6923362,85.0
31,np_no_num,6921733,85.0
32,integrated_v2,4443315,54.6
32,np_no_num,4378158,53.8
33,integrated_v2,1027855,12.6
33,np_no_num,834012,10.2
34,integrated_v2,183255,2.2
34,np_no_num,206467,2.5
35,integrated_v2,132758,1.6
35,np_no_num,140902,1.7
36,integrated_v2,3426455,42.1
36,np_no_num,3669573,45.1
37,integrated_v2,1435088,17.6
37,np_no_num,1657437,20.3
38,integrated_v2,3571837,43.9
38,np_no_num,3175193,39.0
39,integrated_v2,6180977,75.9
39,np_no_num,6163059,75.7
40,integrated_v2,1715264,21.1
40,np_no_num,1589022,19.5
41,integrated_v2,2587963,31.8
41,np_no_num,2643754,32.5
42,integrated_v2,6316178,77.5
42,np_no_num,6240840,76.6
43,integrated_v2,1804041,22.1
43,np_no_num,1994625,24.5
44,integrated_v2,7548057,92.7
44,np_no_num,7682851,94.3
45,integrated_v2,5921163,72.7
45,np_no_num,6209076,76.2
46,integrated_v2,7527695,92.4
46,np_no_num,7535026,92.5
47,integrated_v2,6196859,76.1
47,np_no_num,6301518,77.4
48,integrated_v2,2324077,28.5
48,np_no_num,2715834,33.3
49,integrated_v2,105880,1.3
49,np_no_num,98958,1.2
50,integrated_v2,7573713,93.0
50,np_no_num,7383535,90.7
51,integrated_v2,4506029,55.3
51,np_no_num,3902918,47.9
52,integrated_v2,6771057,83.1
52,np_no_num,6353236,78.0
53,integrated_v2,5925235,72.7
53,np_no_num,6062880,74.4
54,integrated_v2,5127059,62.9
54,np_no_num,5515152,67.7
