회차,추첨일,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨자수(명),1등 당첨금액(원),총판매금액(원)
1240회,2026-09-05,11,13,19,20,31,44,27,16,1791817758,118165321000
1239회,2026-08-29,11,13,22,32,33,36,8,13,2214789375,117767285000
1238회,2026-08-22,2,13,18,32,38,42,22,23,1197258718,114537798000
1237회,2026-08-15,10,20,23,34,37,40,36,23,1214932680,118363161000
1236회,2026-08-08,12,18,21,29,34,38,10,11,2441919375,114070835000
1235회,2026-08-01,6,7,11,15,39,43,20,9,3090961625,115445069000
1234회,2026-07-25,1,15,19,31,35,43,27,18,1595129563,115990429000
1233회,2026-07-18,2,7,20,25,37,40,29,31,837965396,116159776000
1232회,2026-07-11,12,15,19,22,24,36,3,11,2533260819,114636304000
1231회,2026-07-04,4,13,14,18,31,38,15,17,1652990074,118084580000
1230회,2026-06-27,3,8,9,22,28,42,45,16,1771357196,120177677000
1229회,2026-06-20,12,13,29,34,37,42,16,8,3519759000,0
1228회,2026-06-13,24,29,30,31,35,44,1,11,2698334421,0
1227회,2026-06-06,1,14,16,34,41,44,13,11,2674808455,0
1226회,2026-05-30,4,6,13,17,26,28,41,10,2815230113,0
1225회,2026-05-23,8,9,19,25,41,42,33,13,2228133087,0
1224회,2026-05-16,9,18,21,27,44,45,28,12,2414855250,0
1223회,2026-05-09,16,18,20,32,33,39,26,16,1857554133,0
1222회,2026-05-02,4,11,17,22,32,41,34,24,1202986844,0
1221회,2026-04-25,6,13,18,28,30,36,9,16,1830801165,0
1220회,2026-04-18,2,22,25,28,34,43,16,14,2114514161,0
1219회,2026-04-11,1,2,15,28,39,45,31,12,2508232844,0
1218회,2026-04-04,3,28,31,32,42,45,25,18,1714482042,0
1217회,2026-03-28,8,10,15,20,29,31,41,14,2179738018,0
1216회,2026-03-21,3,10,14,15,23,24,25,14,2148654000,0
1215회,2026-03-14,13,15,19,21,44,45,39,16,1998542133,0
1214회,2026-03-07,10,15,19,27,30,33,14,12,2431577188,0
1213회,2026-02-28,5,11,25,27,36,38,2,18,1740011646,0
1212회,2026-02-21,5,8,25,31,41,44,45,12,2654089032,0
1211회,2026-02-14,23,26,27,35,38,40,10,14,2370956036,0
1210회,2026-02-07,1,7,9,17,27,38,31,24,1102298407,0
1209회,2026-01-31,2,17,20,35,37,39,24,22,1371910466,0
1208회,2026-01-24,6,27,30,36,38,42,25,6,5001713625,0
1207회,2026-01-17,10,22,24,27,38,45,11,17,1733202949,0
1206회,2026-01-10,1,3,17,26,27,42,23,15,1868807000,0
1205회,2026-01-03,1,4,16,23,31,41,2,10,3226386263,0
1204회,2025-12-27,8,16,28,30,31,44,27,18,1661007688,0
1203회,2025-12-20,3,6,18,29,35,39,24,21,1368060733,0
1202회,2025-12-13,5,12,21,33,37,40,7,14,1920410813,0
1201회,2025-12-06,7,9,24,27,35,36,37,19,1414555718,0
1200회,2025-11-29,1,2,4,16,20,32,45,12,2357299875,0
1199회,2025-11-22,16,24,25,30,31,32,7,17,1695609839,0
1198회,2025-11-15,26,30,33,38,39,41,21,10,2953686638,0
1197회,2025-11-08,1,5,7,26,28,43,30,13,2205089827,0
1196회,2025-11-01,8,12,15,29,40,45,14,15,2001627550,0
1195회,2025-10-25,3,15,27,33,34,36,37,10,2939186738,0
1194회,2025-10-18,3,13,15,24,33,37,2,28,985155349,0
1193회,2025-10-11,6,9,16,19,24,28,17,16,1717013508,0
1192회,2025-10-04,10,16,23,36,39,40,11,29,1079546587,0
1191회,2025-09-27,1,4,11,12,20,41,2,18,1536334355,0
1190회,2025-09-20,7,9,19,23,26,45,33,6,4622793813,0
1189회,2025-09-13,9,19,29,35,37,38,31,13,2263651299,0
